,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Avarua,CK,-21.2078,-159.775,80.65,78,94,13.8,overcast clouds
79,Saint-Pierre,RE,-21.3393,55.4781,83.88,65,99,3.44,overcast clouds
80,Atuona,PF,-9.8,-139.0333,78.78,77,20,16.4,few clouds
81,Northam,GB,51.0333,-4.2167,45.61,76,14,12.17,few clouds
82,Bayan,CN,46.0833,127.4,4.59,85,96,7.25,overcast clouds
83,Airai,TL,-8.9266,125.4092,68.45,82,95,3.36,overcast clouds
84,Bluff,NZ,-46.6,168.3333,59.81,59,49,5.82,scattered clouds
85,Khatanga,RU,71.9667,102.5,-35.09,100,87,2.71,overcast clouds
86,East London,ZA,-33.0153,27.9116,69.04,88,95,11.86,light rain
87,Hithadhoo,MV,-0.6,73.0833,82.17,74,97,12.55,overcast clouds
88,Mandalgovi,MN,45.7625,106.2708,12.38,53,0,11.25,clear sky
89,Ponta Do Sol,PT,32.6667,-17.1,65.71,71,84,4.88,broken clouds
90,Dharchula,IN,29.85,80.5333,48.97,66,0,1.97,clear sky
91,Parkes,AU,-33.1333,148.1833,80.35,30,7,1.99,clear sky
92,Wote,KE,-1.7808,37.6288,69.13,59,95,2.01,overcast clouds
93,Sterling,US,39.0062,-77.4286,34.34,79,40,1.99,scattered clouds
94,Bengkulu,ID,-3.8004,102.2655,78.24,79,100,2.84,overcast clouds
95,Mayo,US,38.8876,-76.5119,35.64,79,100,8.01,overcast clouds
96,Muli,MV,2.9167,73.5667,82.27,72,17,11.21,few clouds
97,Nanortalik,GL,60.1432,-45.2371,12.31,60,71,38.88,broken clouds
98,Kitob,UZ,39.0843,66.8332,48.78,18,0,5.55,clear sky
99,Labrea,BR,-7.2586,-64.7981,72.93,98,100,2.1,moderate rain
100,Kiama,AU,-34.6833,150.8667,74.37,67,56,1.99,light rain
101,Vao,NC,-22.6667,167.4833,80.33,85,100,7.27,overcast clouds
102,Aklavik,CA,68.2191,-135.0107,-25.11,88,6,19.24,clear sky
103,Cockburn Town,TC,21.4612,-71.1419,75.83,74,0,17.2,clear sky
104,Honiara,SB,-9.4333,159.95,85.5,70,100,7.2,moderate rain
105,Mar Del Plata,AR,-38.0023,-57.5575,67.08,85,100,1.99,moderate rain
106,New Norfolk,AU,-42.7826,147.0587,72.88,46,85,1.99,overcast clouds
107,Tshikapa,CD,-6.4167,20.8,66.18,98,92,1.86,overcast clouds
108,Mehamn,NO,71.0357,27.8492,19.44,83,100,22.82,overcast clouds
109,Marzuq,YE,14.4,46.4667,70.39,23,1,3.06,clear sky
110,Biak,ID,-0.9131,122.8766,84.31,68,98,3.33,overcast clouds
111,Yellowknife,CA,62.456,-114.3525,-26.45,83,100,5.99,overcast clouds
112,Fortuna,US,40.5982,-124.1573,45.52,93,75,0.0,broken clouds
113,Bonfim,BR,3.0833,-59.95,76.71,76,100,6.38,overcast clouds
114,Saskylakh,RU,71.9167,114.0833,-13.9,99,99,4.38,overcast clouds
115,Rincon,US,32.296,-81.2354,58.86,95,100,11.5,overcast clouds
116,Vila Velha,BR,-20.3297,-40.2925,73.94,96,100,1.01,overcast clouds
117,Darhan,MN,49.4867,105.9228,5.16,81,17,6.29,few clouds
118,Qaanaaq,GL,77.484,-69.3632,1.54,71,100,6.29,overcast clouds
119,Cape Town,ZA,-33.9258,18.4232,65.88,67,0,4.0,clear sky
120,Jamestown,US,42.097,-79.2353,18.72,86,100,6.91,mist
121,Sangar,RU,63.9242,127.4739,-25.49,95,98,1.3,overcast clouds
122,Maniitsoq,GL,65.4167,-52.9,6.93,87,100,15.84,light snow
123,Jiuquan,CN,39.7432,98.5174,19.74,31,100,6.35,overcast clouds
124,Pangoa,PE,-12.1167,-73.0,68.27,99,77,1.92,broken clouds
125,Chokurdakh,RU,70.6333,147.9167,-31.58,100,22,1.45,few clouds
126,Salalah,OM,17.0151,54.0924,72.28,71,0,1.68,clear sky
127,Princeton,US,25.5384,-80.4089,73.0,93,0,0.0,clear sky
128,Alamos,MX,27.0167,-108.9333,54.72,48,0,3.06,clear sky
129,Saint Anthony,US,45.0205,-93.218,-0.15,74,75,0.0,broken clouds
130,Torbay,CA,47.6666,-52.7314,32.76,99,100,4.61,freezing rain
131,Hobyo,SO,5.3505,48.5268,77.65,62,32,17.25,scattered clouds
132,Santa Fe,AR,-31.6333,-60.7,74.01,85,37,3.0,scattered clouds
133,Raub,MY,3.7899,101.857,83.97,65,100,4.12,overcast clouds
134,El Cope,PA,8.6167,-80.6,69.85,95,23,5.99,few clouds
135,Tahara,JP,34.6667,137.2667,45.16,53,91,26.87,overcast clouds
136,Lorengau,PG,-2.0226,147.2712,84.85,65,98,9.95,overcast clouds
137,Guerrero Negro,MX,27.9769,-114.0611,59.18,35,0,2.77,clear sky
138,Rocha,UY,-34.4833,-54.3333,65.34,97,68,3.33,broken clouds
139,Kijang,KR,35.2442,129.2139,35.37,33,6,16.98,clear sky
140,Henties Bay,NA,-22.116,14.2845,65.86,84,100,3.78,overcast clouds
141,Shelburne,CA,44.0787,-80.2041,5.76,88,100,7.58,overcast clouds
142,Zalantun,CN,48.0,122.7167,10.26,56,76,11.3,broken clouds
143,Souillac,MU,-20.5167,57.5167,82.36,83,100,19.84,light rain
144,Half Moon Bay,US,37.4636,-122.4286,56.32,63,0,0.0,clear sky
145,Mahebourg,MU,-20.4081,57.7,82.26,85,98,21.52,light rain
146,Bichena,ET,10.45,38.2,57.6,49,69,2.84,broken clouds
147,Hurricane,US,37.1753,-113.2899,39.02,39,0,5.14,clear sky
148,Castro,BR,-24.7911,-50.0119,64.24,98,79,4.5,broken clouds
149,Katangli,RU,51.7102,143.2326,6.46,88,100,19.77,overcast clouds
150,College,US,64.8569,-147.8028,5.58,78,100,0.0,light snow
151,Tiksi,RU,71.6872,128.8694,-22.16,98,73,7.45,broken clouds
152,Hasaki,JP,35.7333,140.8333,50.29,29,21,11.07,few clouds
153,Chake Chake,TZ,-5.2459,39.7666,79.79,81,100,6.31,light rain
154,Hopkinton,US,41.4612,-71.7776,31.51,92,100,5.75,snow
